Date,Home,Away,League
2026-03-28,Northampton Town,Barnsley,League_1
2026-03-28,Peterborough United,Mansfield Town,League_1
2026-03-28,Reading,Wigan Athletic,League_1
2026-03-28,Rotherham United,Luton Town,League_1
2026-03-28,Stockport County,AFC Wimbledon,League_1
2026-03-28,Wycombe Wanderers,Port Vale,League_1
2026-03-06,Cheltenham Town,Barrow,League_2
2026-03-07,Accrington Stanley,Cambridge United,League_2
2026-03-07,Bristol Rovers,Crewe Alexandra,League_2
2026-03-07,Chesterfield,Shrewsbury Town,League_2
2026-03-07,Crawley Town,Swindon Town,League_2
2026-03-07,Gillingham,Fleetwood Town,League_2
2026-03-07,Grimsby Town,Bromley,League_2
2026-03-07,Milton Keynes Dons,Harrogate Town,League_2
2026-03-07,Newport County,Colchester United,League_2
2026-03-07,Salford City,Barnet,League_2
2026-03-07,Tranmere Rovers,Oldham Athletic,League_2
2026-03-07,Walsall,Notts County,League_2
2026-03-13,Colchester United,Crawley Town,League_2
2026-03-14,Barnet,Newport County,League_2
2026-03-14,Barrow,Accrington Stanley,League_2
2026-03-14,Bromley,Bristol Rovers,League_2
2026-03-14,Cambridge United,Gillingham,League_2
2026-03-14,Crewe Alexandra,Walsall,League_2
2026-03-14,Fleetwood Town,Tranmere Rovers,League_2
2026-03-14,Harrogate Town,Salford City,League_2
2026-03-14,Notts County,Chesterfield,League_2
2026-03-14,Oldham Athletic,Grimsby Town,League_2
2026-03-14,Shrewsbury Town,Cheltenham Town,League_2
2026-03-14,Swindon Town,Milton Keynes Dons,League_2
2026-03-21,Accrington Stanley,Chesterfield,League_2
2026-03-21,Bromley,Colchester United,League_2
2026-03-21,Cambridge United,Salford City,League_2
2026-03-21,Fleetwood Town,Crawley Town,League_2
2026-03-21,Gillingham,Bristol Rovers,League_2
2026-03-21,Grimsby Town,Barrow,League_2
2026-03-21,Milton Keynes Dons,Barnet,League_2
2026-03-21,Notts County,Cheltenham Town,League_2
2026-03-21,Oldham Athletic,Harrogate Town,League_2
2026-03-21,Shrewsbury Town,Crewe Alexandra,League_2
2026-03-21,Tranmere Rovers,Swindon Town,League_2
2026-03-21,Walsall,Newport County,League_2
2026-03-28,Barnet,Cambridge United,League_2
2026-03-28,Barrow,Bromley,League_2
2026-03-28,Bristol Rovers,Accrington Stanley,League_2
2026-03-28,Cheltenham Town,Tranmere Rovers,League_2
2026-03-28,Chesterfield,Grimsby Town,League_2
2026-03-28,Colchester United,Walsall,League_2
2026-03-28,Crawley Town,Gillingham,League_2
2026-03-28,Crewe Alexandra,Oldham Athletic,League_2
2026-03-28,Harrogate Town,Notts County,League_2
2026-03-28,Newport County,Shrewsbury Town,League_2
2026-03-28,Salford City,Milton Keynes Dons,League_2
2026-03-28,Swindon Town,Fleetwood Town,League_2
2026-03-01,Rangers,Celtic,Scottish_Premier_League
2026-03-07,Dundee,Motherwell,Scottish_Premier_League
2026-03-14,Aberdeen,Falkirk,Scottish_Premier_League
2026-03-14,Celtic,Motherwell,Scottish_Premier_League
2026-03-14,Hibernian,Livingston,Scottish_Premier_League
2026-03-14,Kilmarnock,Heart of Midlothian,Scottish_Premier_League
2026-03-15,Dundee,Dundee United,Scottish_Premier_League
2026-03-15,St Mirren,Rangers,Scottish_Premier_League
2026-03-21,Falkirk,St Mirren,Scottish_Premier_League
2026-03-21,Heart of Midlothian,Dundee,Scottish_Premier_League
2026-03-21,Kilmarnock,Livingston,Scottish_Premier_League
2026-03-21,Motherwell,Hibernian,Scottish_Premier_League
2026-03-21,Rangers,Aberdeen,Scottish_Premier_League
2026-03-22,Dundee United,Celtic,Scottish_Premier_League
2026-03-07,Arbroath,Ross County,Scottish_Championship
2026-03-07,Greenock Morton,St Johnstone,Scottish_Championship
2026-03-07,Queens Park,Airdrieonians,Scottish_Championship
2026-03-13,Greenock Morton,Partick Thistle,Scottish_Championship
2026-03-14,Airdrieonians,Arbroath,Scottish_Championship
2026-03-14,Dunfermline Athletic,Raith Rovers,Scottish_Championship
2026-03-14,Queens Park,Ayr United,Scottish_Championship
2026-03-14,St Johnstone,Ross County,Scottish_Championship
2026-03-20,Partick Thistle,St Johnstone,Scottish_Championship
2026-03-21,Arbroath,Queens Park,Scottish_Championship
2026-03-21,Ayr United,Greenock Morton,Scottish_Championship
2026-03-21,Raith Rovers,Airdrieonians,Scottish_Championship
2026-03-21,Ross County,Dunfermline Athletic,Scottish_Championship
2026-03-27,Partick Thistle,Ross County,Scottish_Championship
2026-03-27,Raith Rovers,Ayr United,Scottish_Championship
2026-03-28,Airdrieonians,Dunfermline Athletic,Scottish_Championship
2026-03-28,Greenock Morton,Arbroath,Scottish_Championship
2026-03-28,St Johnstone,Queens Park,Scottish_Championship
2026-03-07,Alloa Athletic,Kelty Hearts,Scottish_League_1
2026-03-07,Cove Rangers,Peterhead,Scottish_League_1
2026-03-07,East Fife,Hamilton Academical,Scottish_League_1
2026-03-07,Inverness Caledonian Thistle,Montrose,Scottish_League_1
2026-03-07,Queen of the South,Stenhousemuir,Scottish_League_1
2026-03-14,Hamilton Academical,Queen of the South,Scottish_League_1
2026-03-14,Inverness Caledonian Thistle,Cove Rangers,Scottish_League_1
2026-03-14,Kelty Hearts,East Fife,Scottish_League_1
2026-03-14,Montrose,Alloa Athletic,Scottish_League_1
2026-03-14,Peterhead,Stenhousemuir,Scottish_League_1
2026-03-21,Alloa Athletic,Inverness Caledonian Thistle,Scottish_League_1
2026-03-21,Cove Rangers,Hamilton Academical,Scottish_League_1
2026-03-21,Peterhead,Montrose,Scottish_League_1
2026-03-21,Queen of the South,East Fife,Scottish_League_1
2026-03-21,Stenhousemuir,Kelty Hearts,Scottish_League_1
2026-03-27,Inverness Caledonian Thistle,Queen of the South,Scottish_League_1
2026-03-28,Alloa Athletic,Peterhead,Scottish_League_1
2026-03-28,East Fife,Stenhousemuir,Scottish_League_1
2026-03-28,Hamilton Academical,Kelty Hearts,Scottish_League_1
2026-03-28,Montrose,Cove Rangers,Scottish_League_1
2026-03-07,Annan Athletic,Stirling Albion,Scottish_League_2
2026-03-07,Dumbarton,Spartans,Scottish_League_2
2026-03-07,East Kilbride,Elgin City,Scottish_League_2
2026-03-07,Edinburgh City,Stranraer,Scottish_League_2
2026-03-07,Forfar Athletic,Clyde,Scottish_League_2
2026-03-14,Annan Athletic,Edinburgh City,Scottish_League_2
2026-03-14,Elgin City,Dumbarton,Scottish_League_2
2026-03-14,Spartans,Clyde,Scottish_League_2
2026-03-14,Stirling Albion,Forfar Athletic,Scottish_League_2
2026-03-14,Stranraer,East Kilbride,Scottish_League_2
2026-03-21,Clyde,Stranraer,Scottish_League_2
2026-03-21,Dumbarton,Annan Athletic,Scottish_League_2
2026-03-21,East Kilbride,Stirling Albion,Scottish_League_2
2026-03-21,Edinburgh City,Elgin City,Scottish_League_2
2026-03-21,Forfar Athletic,Spartans,Scottish_League_2
2026-03-28,Annan Athletic,Stranraer,Scottish_League_2
2026-03-28,Dumbarton,Forfar Athletic,Scottish_League_2
2026-03-28,Elgin City,Clyde,Scottish_League_2
2026-03-28,Spartans,East Kilbride,Scottish_League_2
2026-03-28,Stirling Albion,Edinburgh City,Scottish_League_2
