Date,Home,Away,League
2026-02-08,Swansea City,Sheffield Wednesday,Championship
2026-02-09,Sheffield United,Middlesbrough,Championship
2026-02-13,Bristol City,Wrexham - Postponed,Championship
2026-02-14,Derby County,Swansea City,Championship
2026-02-14,Portsmouth,Sheffield United,Championship
2026-02-14,Preston North End,Watford,Championship
2026-02-14,Queens Park Rangers,Blackburn Rovers,Championship
2026-02-14,Sheffield Wednesday,Millwall,Championship
2026-02-16,Coventry City,Middlesbrough,Championship
2026-02-20,Blackburn Rovers,Preston North End,Championship
2026-02-21,Hull City,Queens Park Rangers,Championship
2026-02-21,Middlesbrough,Oxford United,Championship
2026-02-21,Millwall,Portsmouth,Championship
2026-02-21,Norwich City,Birmingham City,Championship
2026-02-21,Southampton,Charlton Athletic,Championship
2026-02-21,Stoke City,Leicester City,Championship
2026-02-21,Swansea City,Bristol City,Championship
2026-02-21,Watford,Derby County,Championship
2026-02-21,West Bromwich Albion,Coventry City,Championship
2026-02-21,Wrexham,Ipswich Town,Championship
2026-02-22,Sheffield United,Sheffield Wednesday,Championship
2026-02-27,Bristol City,Watford,Championship
2026-02-28,Charlton Athletic,Wrexham,Championship
2026-02-28,Coventry City,Stoke City,Championship
2026-02-28,Derby County,Blackburn Rovers,Championship
2026-02-28,Ipswich Town,Swansea City,Championship
2026-02-28,Leicester City,Norwich City,Championship
2026-02-28,Oxford United,West Bromwich Albion,Championship
2026-02-28,Portsmouth,Hull City,Championship
2026-02-28,Preston North End,Millwall,Championship
2026-02-28,Queens Park Rangers,Sheffield United,Championship
2026-02-28,Sheffield Wednesday,Southampton,Championship
2026-02-07,AFC Wimbledon,Reading,League_1
2026-02-07,Bolton Wanderers,Barnsley,League_1
2026-02-07,Huddersfield Town,Blackpool,League_1
2026-02-07,Luton Town,Bradford City,League_1
2026-02-07,Mansfield Town,Exeter City,League_1
2026-02-07,Northampton Town,Stevenage,League_1
2026-02-07,Peterborough United,Wigan Athletic,League_1
2026-02-07,Plymouth Argyle,Lincoln City,League_1
2026-02-07,Port Vale,Burton Albion,League_1
2026-02-07,Rotherham United,Cardiff City,League_1
2026-02-07,Stockport County,Leyton Orient,League_1
2026-02-07,Wycombe Wanderers,Doncaster Rovers,League_1
2026-02-14,Barnsley,AFC Wimbledon,League_1
2026-02-14,Blackpool,Plymouth Argyle,League_1
2026-02-14,Bradford City,Peterborough United,League_1
2026-02-14,Cardiff City,Luton Town,League_1
2026-02-14,Doncaster Rovers,Port Vale - Postponed,League_1
2026-02-14,Exeter City,Northampton Town,League_1
2026-02-14,Leyton Orient,Mansfield Town - Postponed,League_1
2026-02-14,Lincoln City,Bolton Wanderers,League_1
2026-02-14,Reading,Wycombe Wanderers,League_1
2026-02-14,Stevenage,Huddersfield Town,League_1
2026-02-21,AFC Wimbledon,Bradford City,League_1
2026-02-21,Bolton Wanderers,Blackpool,League_1
2026-02-21,Huddersfield Town,Barnsley,League_1
2026-02-21,Luton Town,Burton Albion,League_1
2026-02-21,Mansfield Town,Lincoln City,League_1
2026-02-21,Northampton Town,Leyton Orient,League_1
2026-02-21,Peterborough United,Exeter City,League_1
2026-02-21,Plymouth Argyle,Cardiff City,League_1
2026-02-21,Port Vale,Reading,League_1
2026-02-21,Rotherham United,Doncaster Rovers,League_1
2026-02-21,Stockport County,Wigan Athletic,League_1
2026-02-21,Wycombe Wanderers,Stevenage,League_1
2026-02-28,Doncaster Rovers,Cardiff City,League_1
2026-02-28,Exeter City,Bolton Wanderers,League_1
2026-02-28,Leyton Orient,Barnsley,League_1
2026-02-28,Lincoln City,Blackpool,League_1
2026-02-28,Mansfield Town,AFC Wimbledon,League_1
2026-02-28,Northampton Town,Peterborough United,League_1
2026-02-28,Port Vale,Luton Town,League_1
2026-02-28,Reading,Bradford City,League_1
2026-02-28,Rotherham United,Plymouth Argyle,League_1
2026-02-28,Stevenage,Stockport County,League_1
2026-02-28,Wigan Athletic,Huddersfield Town,League_1
2026-02-28,Wycombe Wanderers,Burton Albion,League_1
2026-02-07,Bristol Rovers,Chesterfield,League_2
2026-02-07,Cheltenham Town,Milton Keynes Dons,League_2
2026-02-07,Colchester United,Shrewsbury Town,League_2
2026-02-07,Crawley Town,Crewe Alexandra,League_2
2026-02-07,Fleetwood Town,Bromley,League_2
2026-02-07,Gillingham,Tranmere Rovers,League_2
2026-02-07,Harrogate Town,Cambridge United,League_2
2026-02-07,Newport County,Grimsby Town,League_2
2026-02-07,Notts County,Barrow,League_2
2026-02-07,Swindon Town,Oldham Athletic,League_2
2026-02-07,Walsall,Barnet,League_2
2026-02-14,Barnet,Cheltenham Town,League_2
2026-02-14,Barrow,Colchester United,League_2
2026-02-14,Bromley,Notts County,League_2
2026-02-14,Cambridge United,Bristol Rovers,League_2
2026-02-14,Chesterfield,Harrogate Town,League_2
2026-02-14,Crewe Alexandra,Gillingham,League_2
2026-02-14,Milton Keynes Dons,Newport County,League_2
2026-02-14,Oldham Athletic,Fleetwood Town,League_2
2026-02-14,Salford City,Walsall - Postponed,League_2
2026-02-14,Shrewsbury Town,Swindon Town,League_2
2026-02-14,Tranmere Rovers,Crawley Town,League_2
2026-02-21,Accrington Stanley,Shrewsbury Town,League_2
2026-02-21,Bristol Rovers,Grimsby Town,League_2
2026-02-21,Cheltenham Town,Salford City,League_2
2026-02-21,Colchester United,Barnet,League_2
2026-02-21,Crawley Town,Chesterfield,League_2
2026-02-21,Fleetwood Town,Barrow,League_2
2026-02-21,Gillingham,Oldham Athletic,League_2
2026-02-21,Harrogate Town,Bromley,League_2
2026-02-21,Newport County,Cambridge United,League_2
2026-02-21,Notts County,Tranmere Rovers,League_2
2026-02-21,Swindon Town,Crewe Alexandra,League_2
2026-02-23,Walsall,Milton Keynes Dons,League_2
2026-02-27,Harrogate Town,Cheltenham Town,League_2
2026-02-28,Barnet,Chesterfield,League_2
2026-02-28,Barrow,Gillingham,League_2
2026-02-28,Bromley,Accrington Stanley,League_2
2026-02-28,Cambridge United,Milton Keynes Dons,League_2
2026-02-28,Colchester United,Salford City,League_2
2026-02-28,Crewe Alexandra,Tranmere Rovers,League_2
2026-02-28,Fleetwood Town,Newport County,League_2
2026-02-28,Notts County,Grimsby Town,League_2
2026-02-28,Oldham Athletic,Crawley Town,League_2
2026-02-28,Shrewsbury Town,Walsall,League_2
2026-02-28,Swindon Town,Bristol Rovers,League_2
2026-02-01,Celtic,Falkirk,Scottish_Premier_League
2026-02-01,Hibernian,Rangers,Scottish_Premier_League
2026-02-14,Dundee,Livingston,Scottish_Premier_League
2026-02-14,Falkirk,Dundee United,Scottish_Premier_League
2026-02-14,Hibernian,St Mirren,Scottish_Premier_League
2026-02-15,Kilmarnock,Celtic,Scottish_Premier_League
2026-02-15,Motherwell,Aberdeen,Scottish_Premier_League
2026-02-15,Rangers,Heart of Midlothian,Scottish_Premier_League
2026-02-21,Aberdeen,Dundee,Scottish_Premier_League
2026-02-21,Celtic,Hibernian,Scottish_Premier_League
2026-02-21,Dundee United,Kilmarnock,Scottish_Premier_League
2026-02-21,Heart of Midlothian,Falkirk,Scottish_Premier_League
2026-02-21,St Mirren,Motherwell,Scottish_Premier_League
2026-02-22,Livingston,Rangers,Scottish_Premier_League
2026-02-28,Dundee,Hibernian,Scottish_Premier_League
2026-02-28,Falkirk,Kilmarnock,Scottish_Premier_League
2026-02-28,Heart of Midlothian,Aberdeen,Scottish_Premier_League
2026-02-28,Livingston,St Mirren,Scottish_Premier_League
2026-02-28,Motherwell,Dundee United,Scottish_Premier_League
2026-02-13,Airdrieonians,St Johnstone,Scottish_Championship
2026-02-14,Arbroath,Ayr United,Scottish_Championship
2026-02-14,Dunfermline Athletic,Partick Thistle,Scottish_Championship
2026-02-14,Greenock Morton,Raith Rovers,Scottish_Championship
2026-02-14,Ross County,Queens Park,Scottish_Championship
2026-02-20,Raith Rovers,St Johnstone,Scottish_Championship
2026-02-21,Arbroath,Dunfermline Athletic,Scottish_Championship
2026-02-21,Ayr United,Ross County,Scottish_Championship
2026-02-21,Partick Thistle,Airdrieonians,Scottish_Championship
2026-02-21,Queens Park,Greenock Morton,Scottish_Championship
2026-02-28,Airdrieonians,Greenock Morton,Scottish_Championship
2026-02-28,Dunfermline Athletic,Queens Park,Scottish_Championship
2026-02-28,Partick Thistle,Arbroath,Scottish_Championship
2026-02-28,Ross County,Raith Rovers,Scottish_Championship
2026-02-28,St Johnstone,Ayr United,Scottish_Championship
2026-02-07,Cove Rangers,Queen of the South,Scottish_League_1
2026-02-07,Hamilton Academical,Stenhousemuir - Postponed,Scottish_League_1
2026-02-07,Inverness Caledonian Thistle,East Fife,Scottish_League_1
2026-02-07,Montrose,Kelty Hearts - Postponed,Scottish_League_1
2026-02-07,Peterhead,Alloa Athletic,Scottish_League_1
2026-02-14,East Fife,Cove Rangers,Scottish_League_1
2026-02-14,Hamilton Academical,Inverness Caledonian Thistle,Scottish_League_1
2026-02-14,Kelty Hearts,Peterhead,Scottish_League_1
2026-02-14,Queen of the South,Alloa Athletic,Scottish_League_1
2026-02-14,Stenhousemuir,Montrose,Scottish_League_1
2026-02-21,Alloa Athletic,Hamilton Academical,Scottish_League_1
2026-02-21,Cove Rangers,Kelty Hearts,Scottish_League_1
2026-02-21,Inverness Caledonian Thistle,Stenhousemuir,Scottish_League_1
2026-02-21,Montrose,Queen of the South,Scottish_League_1
2026-02-21,Peterhead,East Fife,Scottish_League_1
2026-02-28,East Fife,Alloa Athletic,Scottish_League_1
2026-02-28,Hamilton Academical,Montrose,Scottish_League_1
2026-02-28,Kelty Hearts,Inverness Caledonian Thistle,Scottish_League_1
2026-02-28,Queen of the South,Peterhead,Scottish_League_1
2026-02-28,Stenhousemuir,Cove Rangers,Scottish_League_1
2026-02-07,Clyde,Elgin City - Postponed,Scottish_League_2
2026-02-07,Edinburgh City,East Kilbride,Scottish_League_2
2026-02-07,Forfar Athletic,Dumbarton,Scottish_League_2
2026-02-07,Spartans,Stirling Albion - Postponed,Scottish_League_2
2026-02-07,Stranraer,Annan Athletic,Scottish_League_2
2026-02-14,Annan Athletic,East Kilbride,Scottish_League_2
2026-02-14,Dumbarton,Stranraer,Scottish_League_2
2026-02-14,Elgin City,Forfar Athletic,Scottish_League_2
2026-02-14,Spartans,Edinburgh City,Scottish_League_2
2026-02-14,Stirling Albion,Clyde,Scottish_League_2
2026-02-21,Clyde,Edinburgh City,Scottish_League_2
2026-02-21,East Kilbride,Dumbarton,Scottish_League_2
2026-02-21,Elgin City,Stirling Albion,Scottish_League_2
2026-02-21,Forfar Athletic,Annan Athletic,Scottish_League_2
2026-02-21,Stranraer,Spartans,Scottish_League_2
2026-02-28,Clyde,East Kilbride,Scottish_League_2
2026-02-28,Edinburgh City,Forfar Athletic,Scottish_League_2
2026-02-28,Spartans,Annan Athletic,Scottish_League_2
2026-02-28,Stirling Albion,Dumbarton,Scottish_League_2
2026-02-28,Stranraer,Elgin City,Scottish_League_2
